pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-12,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
60,Yukon,Yukon,2020-03-12,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-12,0,0,0.0,0,34.0,,,758.0,0,0.0,0.0,0.0,0.0,,34.0,,,,0.0,,,,,,,,,,,,
62,Nunavut,Nunavut,2020-03-12,0,0,0.0,0,1.0,,,26.0,0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2020-03-12,1,0,0.0,1,29.0,,,,0,0.0,,,0.0,0.0,0.0,,100.0,1.0,,,,,,,,,,,,,
1,Canada,Canada,2020-03-12,138,3,2.0,141,15185.0,,,404.0,38,36.89,0.38,0.01,0.0,1.42,4162.0,,98.58,139.0,0.37,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-03-13,53,0,1.0,53,5195.0,,,1024.0,7,15.22,1.05,0.02,0.0,1.89,0.0,,98.11,52.0,1.03,,,,,,,,,,,,
48,Alberta,Alberta,2020-03-13,23,0,0.0,23,4109.0,,,940.0,4,21.05,0.53,0.0,0.0,0.0,0.0,,100.0,23.0,0.53,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-03-13,0,1,0.0,1,285.0,,,243.0,0,0.0,0.09,0.0,0.0,0.0,0.0,,100.0,1.0,0.09,,,,,,,,,,,,
46,Manitoba,Manitoba,2020-03-13,1,2,0.0,3,352.0,,,257.0,2,200.0,0.22,0.0,0.0,0.0,0.0,,100.0,3.0,0.22,,,,,,,,,,,,
35,Ontario,Ontario,2020-03-13,79,0,1.0,79,4185.0,,,287.0,20,33.9,0.54,0.01,0.0,1.27,0.0,,98.73,78.0,0.54,,,,,,,,,,,,
24,Quebec,Québec,2020-03-13,17,0,0.0,17,740.0,,,87.0,4,30.77,0.2,0.0,0.0,0.0,0.0,,100.0,17.0,0.2,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-13,0,0,0.0,0,52.0,,,100.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,2020-03-13,1,0,0.0,1,44.0,,,57.0,0,0.0,0.13,0.0,0.0,0.0,0.0,,100.0,1.0,0.13,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-03-13,0,0,0.0,0,182.0,,,187.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-13,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
60,Yukon,Yukon,2020-03-13,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-13,0,0,0.0,0,34.0,,,758.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
62,Nunavut,Nunavut,2020-03-13,0,0,0.0,0,1.0,,,26.0,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2020-03-13,2,0,0.0,2,29.0,,,,1,100.0,,,0.0,0.0,0.0,,100.0,2.0,,,,,,,,,,,,,
1,Canada,Canada,2020-03-13,176,3,2.0,179,15185.0,,,404.0,38,26.95,0.48,0.01,0.0,1.12,0.0,,98.88,177.0,0.47,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-03-14,64,0,1.0,64,7033.0,,,1387.0,11,20.75,1.26,0.02,0.0,1.56,1838.0,,98.44,63.0,1.24,,,,,,,,,,,,
48,Alberta,Alberta,2020-03-14,29,0,0.0,29,5247.0,,,1200.0,6,26.09,0.66,0.0,0.0,0.0,1138.0,,100.0,29.0,0.66,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-03-14,0,2,0.0,2,349.0,,,297.0,1,100.0,0.17,0.0,0.0,0.0,64.0,,100.0,2.0,0.17,,,,,,,,,,,,
46,Manitoba,Manitoba,2020-03-14,1,3,0.0,4,837.0,,,611.0,1,33.33,0.29,0.0,0.0,0.0,485.0,,100.0,4.0,0.29,,,,,,,,,,,,
35,Ontario,Ontario,2020-03-14,79,0,1.0,79,6646.0,,,456.0,0,0.0,0.54,0.01,0.0,1.27,2461.0,,98.73,78.0,0.54,,,,,,,,,,,,
24,Quebec,Québec,2020-03-14,17,0,0.0,17,1584.0,,,187.0,0,0.0,0.2,0.0,0.0,0.0,844.0,,100.0,17.0,0.2,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-14,0,0,0.0,0,62.0,,,119.0,0,0.0,0.0,0.0,0.0,,10.0,,,,0.0,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,2020-03-14,1,1,0.0,2,82.0,,,106.0,1,100.0,0.26,0.0,0.0,0.0,38.0,,100.0,2.0,0.26,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-03-14,0,0,0.0,0,481.0,,,495.0,0,0.0,0.0,0.0,0.0,,299.0,,,,0.0,,,,,,,,,,,,
